Start,End,Open,High,Low,Close,Volume,Market Cap
2025-10-19,2025-10-20,107162,109408,106147,108606,48886933143.04181,2149541981355.8884
2025-10-18,2025-10-19,106363,107319,106352,107130,96374438174.34146,2131465852107.4111
2025-10-17,2025-10-18,108065,109184,103778,106429,134919533443.19511,2129614640723.2856
2025-10-16,2025-10-17,110787,111911,107519,108060,84326148608.65854,2194466929384.39
2025-10-15,2025-10-16,112942,113542,110270,110649,95768639040.0209,2229250453576.432
2025-10-14,2025-10-15,115122,115263,110157,113150,94908610698.4669,2243728304836.4287
2025-10-13,2025-10-14,115057,115814,113780,115125,110335286099.48431,2292513377283.669
2025-10-12,2025-10-13,110474,115410,109635,115100,96875993017.01044,2240866129252.439
2025-10-11,2025-10-12,112737,113265,109657,110752,201477414851.5986,2227293169435.035
2025-10-10,2025-10-11,121729,122437,104812,112938,96046643832,2381522843233.732
2025-10-09,2025-10-10,123233,123630,119800,121678,82002136543.38676,2427417507861.937
2025-10-08,2025-10-09,121615,124020,121177,123315,100386099002.49477,2442056120128.101
2025-10-07,2025-10-08,124696,124982,120696,121479,93920109959.78049,2456731133590.401
2025-10-06,2025-10-07,123355,126025,123164,124735,85300911894.8676,2479741413929.4043
2025-10-05,2025-10-06,122325,125400,122159,123468,79124550681.81882,2459452574440.7456
2025-10-04,2025-10-05,122081,122733,121548,122348,87588360377.10452,2433731027576.279
2025-10-03,2025-10-04,120359,123762,119294,122183,96351713515.86064,2411058356898.317
2025-10-02,2025-10-03,119159,121009,118344,120536,91686806842.47736,2377420800086.77
2025-10-01,2025-10-02,114158,118395,113969,118383,81936637120.82806,2314391572900.7017
2025-09-30,2025-10-01,114262,114755,112758,114023,76747541853.48083,2266343000169.7075
2025-09-29,2025-09-30,112130,114394,111572,114259,65292457975.8885,2248550591619.909
2025-09-28,2025-09-29,109710,112315,109201,112120,34549057658.372826,2190058502432.6064
2025-09-27,2025-09-28,109650,109720,109084,109611,52006557354.37631,2180525959516.7732
2025-09-26,2025-09-27,109155,110229,108720,109660,86095801397.90244,2179697932952.5437
2025-09-25,2025-09-26,113404,113480,108728,108944,73626903720.47038,2215504861567.739
2025-09-24,2025-09-25,111996,113921,111409,113291,61890870650.04878,2250196833549.927
2025-09-23,2025-09-24,112622,113268,111540,112011,69289350313.72473,2241771140390.6235
2025-09-22,2025-09-23,115318,115318,112014,112628,63214923674.68293,2254017719553.561
2025-09-21,2025-09-22,115691,115816,115200,115273,28777347178.47387,2302121719425.338
2025-09-20,2025-09-21,115642,116110,115409,115679,41197968380.69338,2306362118773.2964
2025-09-19,2025-09-20,117111,117460,115117,115606,53082998395.78049,2317461845957.5747
2025-09-18,2025-09-19,116344,117879,116155,117102,81795957785.66551,2336160064079.268
2025-09-17,2025-09-18,116755,117265,114892,116461,64149465675.808365,2317006139361.777
2025-09-16,2025-09-17,115260,116951,114941,116736,58165310307.00349,2306842134829.2646
2025-09-15,2025-09-16,115186,116667,114419,115387,55512182918.25784,2295981259172.8325
2025-09-14,2025-09-15,115961,116160,115182,115309,38350664936.452965,2305282490915.749
2025-09-13,2025-09-14,116079,116241,115196,115917,56230830185.90941,2307376225009.2124
2025-09-12,2025-09-13,115634,116652,114806,116065,66157768917.533104,2300734555780.85
2025-09-11,2025-09-12,113958,115474,113489,115474,65682168628.32404,2275545773176.188
2025-09-10,2025-09-11,111558,114286,110947,113967,66271197009.19861,2245508368485.087
2025-09-09,2025-09-10,112070,113250,110810,111552,55567238007.03136,2229162505774.6724
2025-09-08,2025-09-09,111050,112873,110706,112085,42961784448.03136,2226772586489.909
2025-09-07,2025-09-08,110230,111474,110212,111124,31160478780.98606,2209951164449.516
2025-09-06,2025-09-07,110620,111253,110000,110200,56161056703.223,2202875991309.516
2025-09-05,2025-09-06,110775,113188,110360,110659,66821614789.03136,2220943424099.8047
2025-09-04,2025-09-05,111711,112146,109376,110707,51602502880.14286,2203678036207.756
2025-09-03,2025-09-04,111310,112511,110566,111646,62868523290.74216,2221126009922.519
